_id,description
8uzq4,Github
8uzq4,Python
8uzq4,PyTorch
8uzq4,Git
8uzq4,Linux
8nwo9,Python
8nwo9,XML
8nwo9,Shell
8nwo9,Jenkins
8nwo9,C#
8nwo9,C++
8nwo9,AWS
8v203,Jenkins
8v203,Python
8v203,LLM
8v203,Git
6yfn5,Python
6yfn5,HTML
6yfn5,JavaScript
6yfn5,jQuery
6yfn5,CSS
6yfn5,Django
8n88p,Python
8v2da,Python
8v2da,Linux
8v2da,Github
8nmw0,Python
8nmw0,Github
8ik9c,Git
8ik9c,Django
8ik9c,CSS
8ik9c,JavaScript
8ik9c,HTML
8ik9c,AWS
8ik9c,PostgreSQL
8ik9c,MS SQL
8ik9c,Microsoft Azure
8ik9c,Python
8q64j,Linux
8q64j,Github
8q64j,Git
8q64j,Python
8q64j,MySQL
8q64j,AWS
8q64j,Django
8q64j,HTML
8q64j,CSS
77phe,Python
77phe,Django
6z1pf,Python
6z1pf,MS SQL
6z1pf,Excel
6vazb,Github
6vazb,Python
6vazb,MS SQL
8w0w8,Cloud
8w0w8,Python
8w0w8,Java
8w0w8,PL/SQL
7ize1,Linux
7ize1,Git
7ize1,Python
7ize1,PostgreSQL
7ize1,AWS
7ize1,JavaScript
7ize1,Django
87ua3,Python
87ua3,MS SQL
8n0gu,AWS
8n0gu,Python
8n0gu,SaaS
8n0gu,PostgreSQL
8n0gu,Linux
8w1fo,Python
8w1fo,JavaScript
8tlno,Python
8tlno,Git
8r9w4,R
8r9w4,Python
695ve,Python
77ymq,Python
8vh1r,Python
8vh1r,Java
8vh1r,Tableau
8vh1r,MySQL
8vh1r,J2EE
8vh1r,AWS
8vh1r,PostgreSQL
7wceb,PHP
7wceb,Python
7wceb,MySQL
7wceb,HTML
7wceb,JavaScript
7wceb,CSS
7wceb,Django
7wceb,PostgreSQL
7wceb,jQuery
7wceb,VueJS
7wceb,Git
7wceb,D3.js
7wceb,Power BI​
81xrd,Python
7x79r,Linux
7x79r,Systems Analysis
7x79r,Systems Analyst
7x79r,Github
7x79r,Git
7x79r,Python
7x79r,RDBMS
7x79r,hadoop
8n0gm,Python
8n0gm,AWS
8n0gm,Git
8n0gm,PostgreSQL
8n0gm,Linux
8i1od,Git
8i1od,Python
8i1od,HTML
8i1od,JavaScript
8i1od,jQuery
8i1od,CSS
8i1od,Django
7olfm,Linux
7olfm,Git
7olfm,Python
7olfm,MySQL
7olfm,PostgreSQL
8ve8h,Python
8ca4p,Python
8ca4p,HTML
8ca4p,JavaScript
8ca4p,CSS
7lngy,Python
7lngy,MS SQL
7lngy,MySQL
7lngy,JavaScript
7lngy,jQuery
8qehr,LLM
8qehr,NLP
8qehr,Unity
8qehr,tensorflow
8qehr,PyTorch
8qehr,Prompt
8qehr,Python
8qehr,C++
8u7tu,Python
8u7tu,Git
8u7tu,Django
8he09,Python
839w9,Python
839w9,MS SQL
839w9,MySQL
79dy9,Python
7ebh4,Python
